Run,Type,x1,x2,Solvent (V),Acid eq,"m, g IP.6","m g, D-tartaric acid","v mL, water","dissolution in 20 min, 100C","Fast precipitation, cooling on air","precipitation at r.t. 12 h, no seeding","yield, g",Yield (12h r.t. + 2-8C 24h)
1,Factorial,–0.707,–0.707,9.17,1.12,1,#DIV/0!,9.17,-,+,+,1.164,79.8%
2,Factorial,–0.707,0.707,9.17,1.68,1,#DIV/0!,9.17,-,+,+,1.221,83.7%
3,Factorial,0.707,–0.707,14.83,1.12,1,#DIV/0!,14.83,+,-,-,0.741,50.8%
4,Factorial,0.707,0.707,14.83,1.68,1,#DIV/0!,14.83,+,-,-,0.700,48.0%
5,Star (Axial),–1,0,8,1.4,1,#DIV/0!,8,-,+,+,1.198,82.2%
6,Star (Axial),1,0,16,1.4,1,#DIV/0!,16,+,-,-,0.674,46.2%
7,Star (Axial),0,–1,12,1,1,#DIV/0!,12,+,-,+,1.062,72.8%
8,Star (Axial),0,1,12,1.8,1,#DIV/0!,12,-,-,-,0.958,65.7%
9,Center,0,0,12,1.4,1,#DIV/0!,12,-,+,+,1.190,81.6%
10,Center,0,0,12,1.4,1,#DIV/0!,12,-,+,+,0.871,59.7%
11,Center,0,0,12,1.4,1,#DIV/0!,12,-,+,+,0.947,64.9%
12,Center,0,0,12,1.4,1,#DIV/0!,12,-,+,+,1.071,73.4%
13,Center,0,0,12,1.4,1,#DIV/0!,12,-,+,+,0.832,57.1%
