Run,Type,x1,x2,Solvent_V,Acid_eq,m_g_IP6,m_g_D_tartaric_acid,v_mL_water,dissolution_100C,Fast_precipitation,precipitation_rt_12h,yield_g,Yield_percent,"Assay"
1,Factorial,-0.707,-0.707,9.17,1.12,1,0.513,9.17,-,+,+,1.164,79.8,98.8
2,Factorial,-0.707,0.707,9.17,1.68,1,0.77,9.17,-,+,+,1.221,83.7,99.0
3,Factorial,0.707,-0.707,14.83,1.12,1,0.513,14.83,+,-,-,0.741,50.8,99.2
4,Factorial,0.707,0.707,14.83,1.68,1,0.77,14.83,+,-,-,0.7,48.0,98.2
5,Star (Axial),-1.0,0.0,8.0,1.4,1,0.642,8.0,-,+,+,1.198,82.2,99.6
6,Star (Axial),1.0,0.0,16.0,1.4,1,0.642,16.0,+,-,-,0.674,46.2,99.5
7,Star (Axial),0.0,-1.0,12.0,1.0,1,0.458,12.0,+,-,+,1.062,72.8,99.0
8,Star (Axial),0.0,1.0,12.0,1.8,1,0.825,12.0,-,-,-,0.958,65.7,99.8
9,Center,0.0,0.0,12.0,1.4,1,0.642,12.0,-,+,+,1.19,81.6,47.7
10,Center,0.0,0.0,12.0,1.4,1,0.642,12.0,-,+,+,0.871,59.7,99.8
11,Center,0.0,0.0,12.0,1.4,1,0.642,12.0,-,+,+,0.947,64.9,99.4
12,Center,0.0,0.0,12.0,1.4,1,0.642,12.0,-,+,+,1.071,73.4,99.3
13,Center,0.0,0.0,12.0,1.4,1,0.642,12.0,-,+,+,0.832,57.1,50.0
